Ticker,Setor,Empresa,RazaoSocial
CBAV3,Mineração,CBA,COMPANHIA BRASILEIRA DE ALUMÍNIO
CBEE3,Energia Elétrica,AMPLA ENERG,AMPLA ENERGIA E SERVICOS S.A.
CEAB3,Comércio,CEA MODAS,CEA MODAS S.A.
CEBR3,Energia Elétrica,CEB,CIA ENERGETICA DE BRASILIA
CEBR5,Energia Elétrica,CEB,CIA ENERGETICA DE BRASILIA
CEBR6,Energia Elétrica,CEB,CIA ENERGETICA DE BRASILIA
CEDO4,"Tecidos, Vestuário e Calçados",CEDRO,CIA FIACAO TECIDOS CEDRO CACHOEIRA
CEEB3,Energia Elétrica,COELBA,CIA ELETRICIDADE EST. DA BAHIA - COELBA
CGAS3,Gás,COMGAS,CIA GAS DE SAO PAULO - COMGAS
CGAS5,Gás,COMGAS,CIA GAS DE SAO PAULO - COMGAS
CGRA3,Comércio,GRAZZIOTIN,GRAZZIOTIN S.A.
CGRA4,Comércio,GRAZZIOTIN,GRAZZIOTIN S.A.
CLSC3,Energia Elétrica,CELESC,CENTRAIS ELET DE SANTA CATARINA S.A.
CLSC4,Energia Elétrica,CELESC,CENTRAIS ELET DE SANTA CATARINA S.A.
CMIG3,Energia Elétrica,CEMIG,CIA ENERGETICA DE MINAS GERAIS - CEMIG
CMIG4,Energia Elétrica,CEMIG,CIA ENERGETICA DE MINAS GERAIS - CEMIG
CMIN3,Mineração,CSNMINERACAO,CSN MINERAÇÃO S.A.
COCE5,Energia Elétrica,COELCE,CIA ENERGETICA DO CEARA - COELCE
COGN3,Diversos,COGNA ON,COGNA EDUCAÇÃO S.A.
CPFE3,Energia Elétrica,CPFL ENERGIA,CPFL ENERGIA S.A.
CPLE3,Energia Elétrica,COPEL,CIA PARANAENSE DE ENERGIA - COPEL
CRPG5,Químicos,CRISTAL,TRONOX PIGMENTOS DO BRASIL S.A.
CSAN3,"Petróleo, Gás e Biocombustíveis",COSAN,COSAN S.A.
CSED3,Diversos,CRUZEIRO EDU,CRUZEIRO DO SUL EDUCACIONAL S.A.
CSMG3,Água e Saneamento,COPASA,CIA SANEAMENTO DE MINAS GERAIS-COPASA MG
CSNA3,Siderurgia e Metalurgia,SID NACIONAL,CIA SIDERURGICA NACIONAL
CSUD3,Serviços Diversos,CSU DIGITAL,CSU DIGITAL S.A.
CTAX3,Serviços Diversos,CONTAX,CONTAX PARTICIPAÇÕES S.A
CTKA4,"Tecidos, Vestuário e Calçados",KARSTEN,KARSTEN S.A.
CURY3,Construção Civil,CURY S/A,CURY CONSTRUTORA E INCORPORADORA S.A.
CVCB3,Viagens e Lazer,CVC BRASIL,CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.
CXSE3,Previdência e Seguros,CAIXA SEGURI,CAIXA SEGURIDADE PARTICIPAÇÕES S.A.
CYRE3,Construção Civil,CYRELA REALT,CYRELA BRAZIL REALTY S.A.EMPREEND E PART
CYRE4,Construção Civil,CYRELA REALT,CYRELA BRAZIL REALTY S.A.EMPREEND E PART
DASA3,Serv.Méd.Hospit. Análises e Diagnósticos,DASA,DIAGNOSTICOS DA AMERICA S.A.
DESK3,Telecomunicações,DESKTOP,DESKTOP S.A.
DEXP3,Químicos,DEXXOS PAR,DEXXOS PARTICIPACOES S.A.
DEXP4,Químicos,DEXXOS PAR,DEXXOS PARTICIPACOES S.A.
DIRR3,Construção Civil,DIRECIONAL,DIRECIONAL ENGENHARIA S.A.
DMVF3,Comércio e Distribuição,D1000VFARMA,D1000 VAREJO FARMA PARTICIPAÇÕES S.A.
DOHL4,"Tecidos, Vestuário e Calçados",DOHLER,DOHLER S.A.
DOTZ3,Diversos,DOTZ SA,DOTZ S.A.
DXCO3,Madeira e Papel,DEXCO,DEXCO S.A.
EALT3,Máquinas e Equipamentos,ACO ALTONA,ELECTRO ACO ALTONA S.A.
EALT4,Máquinas e Equipamentos,ACO ALTONA,ELECTRO ACO ALTONA S.A.
ECOR3,Transporte,ECORODOVIAS,ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.
EGIE3,Energia Elétrica,ENGIE BRASIL,ENGIE BRASIL ENERGIA S.A.
EMAE4,Energia Elétrica,EMAE,EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.
EMBJ3,Material de Transporte,EMBRAER,EMBRAER S.A.
ENEV3,Energia Elétrica,ENEVA,ENEVA S.A
ENGI11,Energia Elétrica,ENERGISA,ENERGISA S.A.
ENGI3,Energia Elétrica,ENERGISA,ENERGISA S.A.
ENGI4,Energia Elétrica,ENERGISA,ENERGISA S.A.
ENJU3,Programas e Serviços,ENJOEI,ENJOEI S.A.
ENMT3,Energia Elétrica,ENERGISA MT,ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A
ENMT4,Energia Elétrica,ENERGISA MT,ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A
