Ticker,Setor,Empresa,RazaoSocial
VITT3,Químicos,VITTIA,VITTIA S.A.
VIVA3,"Tecidos, Vestuário e Calçados",VIVARA S.A.,VIVARA PARTICIPAÇOES S.A
VIVR3,Construção Civil,VIVER,VIVER INCORPORADORA E CONSTRUTORA S.A.
VIVT3,Telecomunicações,TELEF BRASIL,TELEFÔNICA BRASIL S.A
VLID3,Serviços Diversos,VALID,VALID SOLUÇÕES S.A.
VSTE3,Comércio,VESTE,VESTE S.A. ESTILO
VTRU3,Diversos,VITRUEDUCA,VITRU EDUCAÇÃO S.A
VULC3,"Tecidos, Vestuário e Calçados",VULCABRAS,VULCABRAS S.A.
VVEO3,Comércio e Distribuição,VIVEO,CM HOSPITALAR S.A.
WDCN3,Programas e Serviços,WDC NETWORKS,LIVETECH DA BAHIA INDUSTRIA E COMERCIO S/A
WEGE3,Máquinas e Equipamentos,WEG,WEG S.A.
WEST3,Programas e Serviços,WESTWING,WESTWING COMERCIO VAREJISTA S.A.
WHRL3,Utilidades Domésticas,WHIRLPOOL,WHIRLPOOL S.A.
WHRL4,Utilidades Domésticas,WHIRLPOOL,WHIRLPOOL S.A.
WIZC3,Previdência e Seguros,WIZ CO,WIZ CO PARTICIPAÇÕES E CORRETAGEM DE SEGUROS S.A.
WLMM4,Comércio,WLM IND COM,WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.
YDUQ3,Diversos,YDUQS PART,YDUQS PARTICIPACOES S.A.
